,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Henties Bay,NA,-22.116,14.2845,58.86,80,0,7.49,clear sky
81,Fukue,JP,32.6881,128.8419,86.36,66,75,9.22,broken clouds
82,Cabo San Lucas,MX,22.8909,-109.9124,90.7,68,7,8.99,clear sky
83,Salalah,OM,17.0151,54.0924,77.09,100,90,6.91,drizzle
84,Luanda,AO,-8.8368,13.2343,69.15,89,3,4.36,clear sky
85,Kapit,MY,2.0167,112.9333,91.31,48,78,3.22,broken clouds
86,Kavaratti,IN,10.5669,72.642,82.02,75,81,15.52,broken clouds
87,Alyangula,AU,-13.8483,136.4192,82.27,74,40,8.05,scattered clouds
88,Broken Hill,AU,-31.95,141.4333,53.31,62,90,21.85,overcast clouds
89,Bagdarin,RU,54.4333,113.6,68.88,58,71,3.22,light rain
90,Avarua,CK,-21.2078,-159.775,77.05,73,75,9.22,broken clouds
91,Thompson,CA,55.7435,-97.8558,62.76,67,75,2.3,smoke
92,Bredasdorp,ZA,-34.5322,20.0403,51.12,93,5,3.44,clear sky
93,Bonthe,SL,7.5264,-12.505,75.2,78,22,2.93,few clouds
94,Chuy,UY,-33.6971,-53.4616,47.7,95,0,3.91,clear sky
95,Grong,NO,64.4654,12.3149,45.28,92,94,2.93,overcast clouds
96,Chokurdakh,RU,70.6333,147.9167,57.27,30,27,9.95,scattered clouds
97,Rozkishne,UA,48.5074,39.3004,80.82,44,54,2.71,broken clouds
98,Gachala,CO,4.6924,-73.5204,67.75,95,98,1.92,overcast clouds
99,Dera Bugti,PK,29.0307,69.151,91.36,49,10,3.71,clear sky
100,Manyana,BW,-23.4,21.7167,49.64,24,0,7.43,clear sky
101,Bluff,NZ,-46.6,168.3333,49.8,60,34,6.35,scattered clouds
102,Dukat,RU,62.55,155.55,35.87,92,100,6.31,light rain
103,Half Moon Bay,US,37.4636,-122.4286,73.11,78,40,1.01,scattered clouds
104,Acapulco,MX,16.8634,-99.8901,81.61,86,70,6.67,broken clouds
105,Loukhi,RU,66.0764,33.0381,54.09,98,100,6.51,overcast clouds
106,Balkanabat,TM,39.5108,54.3671,91.78,16,95,8.01,overcast clouds
107,Chapais,CA,49.7834,-74.8492,58.78,94,100,11.9,overcast clouds
