City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
155,Sirjan,IR,80.69,broken clouds,29.452,55.6814,MAPNA Building
156,Dingle,PH,88.27,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
159,Axim,GH,75.42,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
161,Jibuti,DJ,87.22,light rain,11.5,42.5,Orchid Main Camp Goubet
163,Boguchany,RU,76.05,scattered clouds,58.3814,97.4531,Uyut
167,Maragogi,BR,73.08,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
169,Obihiro,JP,89.01,broken clouds,42.9172,143.2044,Tokachi Gardens Hotel
170,San Quintin,MX,72.07,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
171,Matay,EG,83.25,clear sky,28.419,30.7792,Nag Aespen
175,Boguchar,RU,78.01,broken clouds,49.9358,40.545,Home on Dzerzhinskogo
176,Tahta,EG,82.72,clear sky,26.7693,31.5021,El Salam Hotel
180,Coruripe,BR,71.76,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
181,Mogadishu,SO,75.07,broken clouds,2.0371,45.3438,Hotel Juba
183,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
187,Ouro Preto Do Oeste,BR,70.14,clear sky,-10.7481,-62.2158,Graúna Resort Hotel
189,Hirara,JP,80.87,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
190,Hithadhoo,MV,82.38,overcast clouds,-0.6,73.0833,Scoop Guest House
192,La Romana,DO,80.33,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
193,Tabou,CI,74.77,scattered clouds,4.423,-7.3528,hotêl doufoulougou
196,Vung Tau,VN,86.79,overcast clouds,10.346,107.0843,Green hotel
198,Suntar,RU,72.46,light rain,62.1444,117.6319,Дом у Мамы
204,Garowe,SO,76.89,few clouds,8.4054,48.4845,Curubo Hotel
205,Nara,JP,84.25,moderate rain,34.6851,135.8049,Guesthouse Nara Komachi
210,Gunjur,GM,75.27,broken clouds,13.2019,-16.7339,Kuba Lodge
213,Puerto Ayora,EC,70.72,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
215,Kuandian,CN,78.8,light rain,40.7286,124.7847,Hi Inn Dandong Kuandian Ji Xian Garden
216,Scottsbluff,US,78.12,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
218,Hovd,MN,70.81,clear sky,48.0056,91.6419,Hotel Khovd
229,Makakilo City,US,86.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
231,Cockburn Town,TC,81.82,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
234,Chikmagalur,IN,70.83,overcast clouds,13.3167,75.7833,Gateway Chikmagalur - IHCL SeleQtions
236,Darbhanga,IN,87.85,overcast clouds,26.1667,85.9,Hotel Shyama Regency
237,Guerrero Negro,MX,73.99,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
242,Erzin,TR,79.52,clear sky,36.9559,36.2,Artemis Otel
244,Airai,TL,77.56,scattered clouds,-8.9266,125.4092,Juvinal Martin
245,Coahuayana,MX,79.18,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
247,San Patricio,US,85.86,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
249,Stonewall,CA,73.71,few clouds,50.1344,-97.3268,Rockwood Motor Inn & Motel
255,Olinda,BR,73.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
256,Statesboro,US,75.0,broken clouds,32.4488,-81.7832,"Holiday Inn Statesboro-University Area, an IHG Hotel"
260,Kalmunai,LK,86.92,overcast clouds,7.4167,81.8167,VS Villa
263,Ordzhonikidze,KZ,78.06,broken clouds,52.4411,61.7408,Tomiris
267,La Ronge,CA,70.05,smoke,55.1001,-105.2842,Northland Motor Hotel
270,Pasighat,IN,86.02,overcast clouds,28.0667,95.3333,Siang Guest House
277,Sao Felix Do Xingu,BR,71.02,clear sky,-6.6447,-51.995,Rio Xingu Camping
278,Ponta Do Sol,PT,73.0,scattered clouds,32.6667,-17.1,Hotel do Campo
286,Bubaque,GW,78.69,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
288,Urucara,BR,73.33,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
292,Dhidhdhoo,MV,82.02,overcast clouds,6.8833,73.1,Dhidhoo beach
297,Saint Simons,US,78.84,scattered clouds,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
298,Sulangan,PH,86.02,overcast clouds,11.1373,123.7228,Maia's Beach Resort
300,Brigantine,US,73.02,clear sky,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
307,Kyaukse,MM,82.4,broken clouds,21.6,96.1333,Shwe Thit Sar Guesthouse
310,Shenjiamen,CN,80.71,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
311,Yarkovo,RU,70.2,clear sky,57.4028,67.0786,Тобол
314,Salinopolis,BR,77.61,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
315,Ocos,GT,83.32,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
316,Gebze,TR,75.4,clear sky,40.8028,29.4307,Holiday Inn Gebze - Istanbul Asia
321,Meulaboh,ID,84.45,broken clouds,4.1363,96.1285,Kost Pria
323,Springfield,US,72.32,clear sky,37.2153,-93.2982,University Plaza Hotel & Convention Center
325,Padang,ID,86.05,broken clouds,-0.9492,100.3543,Mercure Padang
327,Nemuro,JP,79.23,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
328,Moerai,PF,75.83,overcast clouds,-22.4333,-151.3333,Le Manotel
329,Maraba,BR,71.74,few clouds,-5.3686,-49.1178,Hotel Del Principe
330,Chiriguana,CO,74.28,overcast clouds,9.3624,-73.6031,Zapatosa Red Turística
336,Xichang,CN,80.22,clear sky,27.8964,102.2634,Xichang ibis Hotel
337,Ribeira Grande,PT,72.73,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
345,Aguimes,ES,70.43,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
347,Littleton,US,79.74,broken clouds,39.6133,-105.0166,InTown Suites Extended Stay Denver CO - Englewood
348,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
350,Boa Vista,BR,76.98,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
351,Hervey Bay,AU,79.03,clear sky,-25.2986,152.8535,Shelly Bay Resort
356,Kieta,PG,83.23,light rain,-6.2167,155.6333,Uruna Bay Retreat
363,Obregon,NI,78.89,overcast clouds,11.9566,-85.9636,Hostal Casa Aryen
365,Jumla,NP,70.74,overcast clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
367,Lishu,CN,76.19,scattered clouds,43.3047,124.3278,Yuzhen Hotel
369,Alihe,CN,72.57,overcast clouds,50.5667,123.7167,Alihe Forestry Hotel
370,Yavatmal,IN,74.48,overcast clouds,20.4,78.1333,Palash Inn
371,Bismarck,US,77.81,smoke,46.8083,-100.7837,Ramkota Hotel & Conference Center
374,Zhigansk,RU,74.91,clear sky,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
376,Khatanga,RU,77.97,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
379,Shimoda,JP,89.96,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
383,Malindi,KE,73.56,broken clouds,-3.2175,40.1191,African House Resort
385,Arlit,NE,88.54,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
386,Sorong,ID,86.34,broken clouds,-0.8833,131.25,waigo splash hotel
387,Eyl,SO,81.73,few clouds,7.9803,49.8164,Amiin Hotel
388,Bend,US,81.75,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
389,Shellbrook,CA,72.63,overcast clouds,53.2168,-106.4011,Shellbrook Hotel
391,Klyuchi,RU,80.17,scattered clouds,52.2667,79.1667,Vesolaya Mayovka
394,Manaure,CO,82.29,overcast clouds,11.7751,-72.4445,Hotel Palaaima
395,Charlestown,AU,71.69,few clouds,-32.95,151.6667,Panorama Motor Inn Hotel
397,Campbell River,CA,77.38,smoke,50.0163,-125.2446,Ramada by Wyndham Campbell River
401,Pontianak,ID,87.78,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
402,Faanui,PF,78.53,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
403,Alta Floresta,BR,73.02,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
404,Kibala,TD,75.15,thunderstorm,9.1104,18.3463,hotel safari
405,Talnakh,RU,79.93,overcast clouds,69.4865,88.3972,Talnakh Hotel
406,Jacareacanga,BR,77.45,broken clouds,-6.2222,-57.7528,Casa do Ian😎
407,Bambanglipuro,ID,79.41,overcast clouds,-7.95,110.2833,Puri Brata
408,Le Vauclin,MQ,78.84,clear sky,14.5452,-60.8388,Hôtel Cap Macabou
409,Ixtapa,MX,81.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
410,Santa Pola,ES,74.53,clear sky,38.1917,-0.5658,Patilla
412,Grand-Santi,GF,71.69,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
413,Phalodi,IN,85.86,overcast clouds,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
416,Poum,NC,70.36,clear sky,-20.2333,164.0167,Gîte kajeon
417,San Ramon,US,75.43,clear sky,37.7799,-121.978,San Ramon Marriott
420,Madingou,CG,71.89,broken clouds,-4.1536,13.55,HOTEL KIM ELISA
421,Magdagachi,RU,76.62,overcast clouds,53.45,125.8,Motopolyana Magdagachi
422,Sinnamary,GF,78.19,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
424,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
432,Victoria,HK,89.65,overcast clouds,22.2855,114.1577,Mini Hotel Central
433,Samarai,PG,80.02,broken clouds,-10.6167,150.6667,Nuli Sapi
434,Ballina,AU,73.58,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
436,Lorengau,PG,85.26,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
439,Mount Isa,AU,71.37,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
441,Santa Isabel Do Rio Negro,BR,74.68,light rain,-0.4139,-65.0192,Hotel GSA
442,Lethem,GY,72.79,overcast clouds,3.3803,-59.7968,Savannah Inn
443,Parvatsar,IN,78.21,light rain,26.8833,74.7667,Shree Hotel
447,Florida,US,80.58,overcast clouds,28.7505,-82.5001,Sportsmens Cove
448,Honiara,SB,81.7,broken clouds,-9.4333,159.95,Heritage Park Hotel
449,Buchanan,LR,75.92,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
451,Sampang,ID,85.95,few clouds,-7.1872,113.2394,sekretariat IKA STAIN
453,Gucheng,CN,87.15,overcast clouds,35.9115,111.3192,古城宾馆
455,Umm Lajj,SA,89.2,clear sky,25.0213,37.2685,Moon light Furnished Units
456,Asyut,EG,80.78,clear sky,27.181,31.1837,Florence Hotel Assiut
459,Kutum,SD,71.53,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
461,Banamba,ML,76.82,overcast clouds,13.55,-7.45,Kassela de Banamba
463,Ternate,ID,83.82,few clouds,0.8,127.4,Grand Dafam Bela Ternate
467,Namatanai,PG,83.71,light rain,-3.6667,152.4333,Seagulls Inn Namatani
468,Matara,LK,82.92,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
469,Smidovich,RU,84.92,scattered clouds,48.6,133.8167,Gostinnitsa
